date,day_of_week,channel,spend,revenue,roas,impressions,clicks,conversions,new_customers,ctr,cpc,cpa,aov,source_row,record_id,expected_at_reported_roas,revenue_difference,explanation
2023-01-01,Sun,Meta Ads,357390.31,459961.33,1.29,10161843,529757,299,164,5.21,0.67,1195.29,1538.33,1,2023-01-01|Meta Ads,461033.50,-1072.17,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-01,Sun,Google Search,199049.12,444277.64,2.23,2875297,77990,269,156,2.71,2.55,739.96,1651.59,2,2023-01-01|Google Search,443879.54,398.10,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-01,Sun,Google Display,475595.99,470840.03,0.99,14246270,632662,314,147,4.44,0.75,1514.64,1499.49,3,2023-01-01|Google Display,470840.03,0.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-01,Sun,YouTube,255665.99,687997.18,2.69,2038966,113349,389,268,5.56,2.26,657.24,1768.63,4,2023-01-01|YouTube,687741.51,255.67,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-01,Sun,Instagram Reels,162825.41,540743.19,3.32,1696976,17407,287,180,1.03,9.35,567.34,1884.12,5,2023-01-01|Instagram Reels,540580.36,162.83,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-01,Sun,Email,71900.9,344908.62,4.8,1697895,14617,184,90,0.86,4.92,390.77,1874.5,6,2023-01-01|Email,345124.32,-215.70,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-01,Sun,SMS,18466.41,97059.45,5.26,252460,11059,85,65,4.38,1.67,217.25,1141.88,7,2023-01-01|SMS,97133.32,-73.87,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-01,Sun,Influencer,269149.82,1058566.24,3.93,1153687,54668,1514,651,4.74,4.92,177.77,699.19,8,2023-01-01|Influencer,1057758.79,807.45,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-01,Sun,Affiliate,235329.35,1054746.15,4.48,3917560,39260,758,500,1,5.99,310.46,1391.49,9,2023-01-01|Affiliate,1054275.49,470.66,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-01,Sun,Organic Social,452164.91,2164965.59,4.79,13317234,784466,1394,571,5.89,0.58,324.37,1553.06,10,2023-01-01|Organic Social,2165869.92,-904.33,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-02,Mon,Meta Ads,437100.33,472724.01,1.08,11993262,290751,510,402,2.42,1.5,857.06,926.91,11,2023-01-02|Meta Ads,472068.36,655.65,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-02,Mon,Google Search,175842.06,781002.51,4.44,2561928,124145,418,288,4.85,1.42,420.67,1868.43,12,2023-01-02|Google Search,780738.75,263.76,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-02,Mon,Google Display,18325.69,22705.53,1.24,170685,4147,18,12,2.43,4.42,1018.09,1261.42,13,2023-01-02|Google Display,22723.86,-18.33,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-02,Mon,YouTube,330355.56,1019807.61,3.09,6483996,105138,1384,761,1.62,3.14,238.7,736.86,14,2023-01-02|YouTube,1020798.68,-991.07,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-02,Mon,Instagram Reels,80267.56,278127.1,3.47,1696038,52767,285,176,3.11,1.52,281.64,975.88,15,2023-01-02|Instagram Reels,278528.43,-401.33,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-02,Mon,Email,58643.02,326964.16,5.58,516084,21451,206,160,4.16,2.73,284.67,1587.2,16,2023-01-02|Email,327228.05,-263.89,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-02,Mon,SMS,12219.34,85321.54,6.98,236660,8445,148,48,3.57,1.45,82.56,576.5,17,2023-01-02|SMS,85290.99,30.55,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-02,Mon,Influencer,81381.52,254642.78,3.13,810763,5416,140,47,0.67,15.03,581.3,1818.88,18,2023-01-02|Influencer,254724.16,-81.38,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-02,Mon,Affiliate,474567.17,2421716.27,5.1,2420731,116873,1627,715,4.83,4.06,291.68,1488.45,19,2023-01-02|Affiliate,2420292.57,1423.70,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-02,Mon,Organic Social,410463.74,2460935.35,6,2497463,17833,3465,1732,0.71,23.02,118.46,710.23,20,2023-01-02|Organic Social,2462782.44,-1847.09,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-03,Tue,Meta Ads,35550.19,96845.83,2.72,251274,6311,89,54,2.51,5.63,399.44,1088.16,21,2023-01-03|Meta Ads,96696.52,149.31,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-03,Tue,Google Search,217334.78,873120.75,4.02,1517913,16191,473,331,1.07,13.42,459.48,1845.92,22,2023-01-03|Google Search,873685.82,-565.07,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-03,Tue,Google Display,480969.38,897296.48,1.87,6702308,341349,795,477,5.09,1.41,604.99,1128.67,23,2023-01-03|Google Display,899412.74,-2116.26,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-03,Tue,YouTube,488985.67,544241.05,1.11,11762971,630012,346,266,5.36,0.78,1413.25,1572.95,24,2023-01-03|YouTube,542774.09,1466.96,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-03,Tue,Instagram Reels,167657.25,687763.57,4.1,683211,11025,605,296,1.61,15.21,277.12,1136.8,25,2023-01-03|Instagram Reels,687394.73,368.85,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-03,Tue,Email,8964.71,78491.41,8.76,108490,5242,52,34,4.83,1.71,172.4,1509.45,26,2023-01-03|Email,78530.86,-39.45,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-03,Tue,SMS,28178.24,118280.98,4.2,630549,35210,156,62,5.58,0.8,180.63,758.21,27,2023-01-03|SMS,118348.61,-67.63,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-03,Tue,Influencer,209999.49,690058.32,3.29,997103,14691,467,256,1.47,14.29,449.68,1477.64,28,2023-01-03|Influencer,690898.32,-840.00,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-03,Tue,Affiliate,352941.89,2405581.33,6.82,3844492,32864,2200,1056,0.85,10.74,160.43,1093.45,29,2023-01-03|Affiliate,2407063.69,-1482.36,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-03,Tue,Organic Social,438757.21,2027760.32,4.62,12170152,604123,3164,1297,4.96,0.73,138.67,640.89,30,2023-01-03|Organic Social,2027058.31,702.01,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-04,Wed,Meta Ads,449267.15,508660.27,1.13,11451963,565342,372,238,4.94,0.79,1207.71,1367.37,31,2023-01-04|Meta Ads,507671.88,988.39,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-04,Wed,Google Search,294560.69,1207816.65,4.1,7553227,221492,2150,774,2.93,1.33,137,561.78,32,2023-01-04|Google Search,1207698.83,117.82,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-04,Wed,Google Display,266694.09,315552.45,1.18,2486310,117264,245,139,4.72,2.27,1088.55,1287.97,33,2023-01-04|Google Display,314699.03,853.42,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-04,Wed,YouTube,109035.57,194628.49,1.78,2886642,66130,128,85,2.29,1.65,851.84,1520.54,34,2023-01-04|YouTube,194083.31,545.18,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-04,Wed,Instagram Reels,342075.39,1465450.97,4.28,5554504,88513,980,401,1.59,3.86,349.06,1495.36,35,2023-01-04|Instagram Reels,1464082.67,1368.30,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-04,Wed,Email,63036.89,626901.87,9.94,591663,8180,513,297,1.38,7.71,122.88,1222.03,36,2023-01-04|Email,626586.69,315.18,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-04,Wed,SMS,37720,142740.02,3.78,901002,29654,142,63,3.29,1.27,265.63,1005.21,37,2023-01-04|SMS,142581.60,158.42,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-04,Wed,Influencer,308689.19,828089.62,2.68,8678726,272579,521,250,3.14,1.13,592.49,1589.42,38,2023-01-04|Influencer,827287.03,802.59,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-04,Wed,Affiliate,318173.64,1431208.67,4.5,8776742,311154,1008,453,3.55,1.02,315.65,1419.85,39,2023-01-04|Affiliate,1431781.38,-572.71,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-04,Wed,Organic Social,170251.82,960322.42,5.64,1391023,43195,973,690,3.11,3.94,174.98,986.97,40,2023-01-04|Organic Social,960220.26,102.16,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-05,Thu,Meta Ads,94341.64,265364.16,2.81,497792,4565,210,100,0.92,20.67,449.25,1263.64,41,2023-01-05|Meta Ads,265100.01,264.15,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-05,Thu,Google Search,268673.61,1065237.13,3.96,6355503,179155,1498,898,2.82,1.5,179.35,711.11,42,2023-01-05|Google Search,1063947.50,1289.63,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-05,Thu,Google Display,213178.28,221023.24,1.04,5649666,216517,277,124,3.83,0.98,769.6,797.92,43,2023-01-05|Google Display,221705.41,-682.17,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-05,Thu,YouTube,268830.76,766490.26,2.85,4584743,172813,688,247,3.77,1.56,390.74,1114.08,44,2023-01-05|YouTube,766167.67,322.59,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-05,Thu,Instagram Reels,315306.68,463122.45,1.47,2753352,51817,646,342,1.88,6.09,488.09,716.91,45,2023-01-05|Instagram Reels,463500.82,-378.37,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-05,Thu,Email,14392.43,144523.03,10.04,51847,289,73,41,0.56,49.8,197.16,1979.77,46,2023-01-05|Email,144500.00,23.03,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
2023-01-05,Thu,SMS,35017.17,142197.72,4.06,900086,48900,87,56,5.43,0.72,402.5,1634.46,47,2023-01-05|SMS,142169.71,28.01,"Reported ROAS has two decimals. Spend × reported ROAS can differ from recorded revenue; this is a rounding diagnostic, not an invoice overcharge."
